Model,Type,Accuracy,Precision,Recall,F1 Score,ROC AUC
Stacking Ensemble,Ensemble,0.6626685416494333,0.6569072719053538,0.6626685416494333,0.6578923237818994,0.8286920123153974
Dense Network (L2),Deep Learning,0.6309868475473571,0.620937268257341,0.6309868475473571,0.6223748549736556,0.796871847609821
MLP,Deep Learning,0.6237902225163372,0.6211413422183019,0.6237902225163372,0.6189878873814013,0.7907250466795771
Voting Ensemble,Ensemble,0.6223012656133675,0.6259728857370012,0.6223012656133675,0.6030755158707283,0.7984212639226506
Weighted Ensemble,Ensemble,0.6118785672925801,0.6286701616870976,0.6118785672925801,0.5706800997204438,0.7999171488105138
Logistic Regression,Classical,0.6107204897013814,0.6015828943202178,0.6107204897013814,0.5989627472098279,0.7750027456754922
SVM,Classical,0.6082388948630987,0.6016587589862027,0.6082388948630987,0.5567529588512232,0.7630924770987038
Gradient Boosting,Classical,0.5974025974025974,0.6059180737344111,0.5974025974025974,0.5827554044639813,0.7704356923141984
Random Forest,Classical,0.5905368516833485,0.6214973344162149,0.5905368516833485,0.550031800677535,0.7806770427904732
Decision Tree,Classical,0.5881379766730085,0.6055337915815812,0.5881379766730085,0.5627937194749695,0.7326059559617677
Bagging Ensemble,Ensemble,0.5795351145669617,0.601879847445587,0.5795351145669617,0.543602996575629,0.7447194983109157
KNN,Classical,0.5140210108362975,0.5034437744362096,0.5140210108362975,0.501902943136192,0.7017132395938928
